X11;X12;X21;X22;X31;X32;X41;X42;X51;X52;X61;X62;X71;X72;X81;X82;X91;X92
0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;A
0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;A
0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;I
1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;I
1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;I
1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;I
1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;I
0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;A
0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;A
0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;A
0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;A
0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;A
1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;A
1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;I
0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;I
1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;A
0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;I
0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;A
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;A
1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;I
1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;A
0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;A
0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;A
0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;A
1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;A
0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;A
1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;I
1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;I
0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;A
0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;A
1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;A
1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;I
0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;I
1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;A
0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;A
0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;A
0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;A
1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;I
0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;I
0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;I
1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;I
1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;A
1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;A
1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;A
0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;A
1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;A
0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;A
0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;I
0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;A
1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;I
1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;I
1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;I
0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;A
1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;I
1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;I
1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;I
0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;A
1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;I
1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;A
0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;I
1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;A
0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;I
0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;I
1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;A
0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;I
0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;A
1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;I
0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;A
0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;A
0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;A
1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;I
1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;I
0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;A
0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;A
1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;A
0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;A
0;1;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;A
1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;I
1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;I
1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;A
0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;A
1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;I
1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;I
0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;A
0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;I
1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;I
1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;A
1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;0;1;A
1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;I
0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;I
0;1;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;A
1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;I
0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;A
0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;A
1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;I
1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;I
0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;A
0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;I
1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;A
0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;A
0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;A
1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;I
1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;I
1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;A
0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;A
0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;A
1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;A
0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;A
0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;I
0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;A
1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;I
1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;I
0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;A
1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;I
1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;I
0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;I
1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;A
1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;I
0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;A
0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;A
0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;I
0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;A
1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;I
0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;A
0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;I
0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;A
0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;A
0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;A
0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;A
0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;A
1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;I
1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;A
0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;I
0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;A
0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;A
0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;I
0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;A
0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;A
0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;I
1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;A
0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;I
1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;I
1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;I
1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;I
0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;A
1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;A
0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;I
1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;I
1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;A
0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;A
1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;I
0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;A
0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1;A
1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;I
1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;I
1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;I
0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;A
0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;I
1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;A
1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;I
1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;I
1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;A
1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;A
0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;A
0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;A
1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;I
0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;I
0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;A
1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;A
1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;I
1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;A
0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;I
1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;A
0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;A
0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;I
0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;A
1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;A
1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;I
1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;I
1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;I
0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;A
1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;I
1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;I
1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;A
0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;A
1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;I
0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;A
1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;I
1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;A
1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;I
1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;I
1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;A
0;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;I
0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;A
1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;I
0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;I
0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;A
0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;A
0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;A
1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;A
1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;I
1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;I
